Begriff,,C-Bevorzugt,C-Definitionsort,C-LetzteAenderung,Anmerkung
Uterus,INDEX,Gebärmutter,,,
Vagina,INDEX,,,,
Vena Cava,TERMINUS,,,3.nightly,
Vena portae,Z,,ANA,3.nightly,
Vene,TERMINUS,,,3.nightly,
Venole,INDEX,,,3.nightly,
Ventrikel,INDEX,Herzkammer,,3.nightly,
Vorsteherdrüse,Z,Prostata,,3.nightly,
Wurmfortsatz,INDEX,,ANA,3.nightly,
Zervix,Z,Gebärmutterhals,,,
Zuckerstoffwechsel,INDEX,,ANA,3.nightly,
Zwölffingerdarm,TERMINUS,,ANA,3.nightly,
